file,missing_value,month,unit,year
gpcp_1dd_v1.2_p1d.200307_monthlyAverage.npy,-99999.,07,mm/day,2003
gpcp_1dd_v1.2_p1d.200308_monthlyAverage.npy,-99999.,08,mm/day,2003
gpcp_1dd_v1.2_p1d.200309_monthlyAverage.npy,-99999.,09,mm/day,2003
gpcp_1dd_v1.2_p1d.200310_monthlyAverage.npy,-99999.,10,mm/day,2003
gpcp_1dd_v1.2_p1d.200311_monthlyAverage.npy,-99999.,11,mm/day,2003
gpcp_1dd_v1.2_p1d.200312_monthlyAverage.npy,-99999.,12,mm/day,2003
gpcp_1dd_v1.2_p1d.200401_monthlyAverage.npy,-99999.,01,mm/day,2004
gpcp_1dd_v1.2_p1d.200402_monthlyAverage.npy,-99999.,02,mm/day,2004
gpcp_1dd_v1.2_p1d.200403_monthlyAverage.npy,-99999.,03,mm/day,2004
gpcp_1dd_v1.2_p1d.200404_monthlyAverage.npy,-99999.,04,mm/day,2004
gpcp_1dd_v1.2_p1d.200405_monthlyAverage.npy,-99999.,05,mm/day,2004
gpcp_1dd_v1.2_p1d.200406_monthlyAverage.npy,-99999.,06,mm/day,2004
gpcp_1dd_v1.2_p1d.200407_monthlyAverage.npy,-99999.,07,mm/day,2004
gpcp_1dd_v1.2_p1d.200408_monthlyAverage.npy,-99999.,08,mm/day,2004
gpcp_1dd_v1.2_p1d.200409_monthlyAverage.npy,-99999.,09,mm/day,2004
gpcp_1dd_v1.2_p1d.200410_monthlyAverage.npy,-99999.,10,mm/day,2004
gpcp_1dd_v1.2_p1d.200411_monthlyAverage.npy,-99999.,11,mm/day,2004
gpcp_1dd_v1.2_p1d.200412_monthlyAverage.npy,-99999.,12,mm/day,2004
gpcp_1dd_v1.2_p1d.200501_monthlyAverage.npy,-99999.,01,mm/day,2005
gpcp_1dd_v1.2_p1d.200502_monthlyAverage.npy,-99999.,02,mm/day,2005
gpcp_1dd_v1.2_p1d.200503_monthlyAverage.npy,-99999.,03,mm/day,2005
gpcp_1dd_v1.2_p1d.200504_monthlyAverage.npy,-99999.,04,mm/day,2005
gpcp_1dd_v1.2_p1d.200505_monthlyAverage.npy,-99999.,05,mm/day,2005
gpcp_1dd_v1.2_p1d.200506_monthlyAverage.npy,-99999.,06,mm/day,2005
gpcp_1dd_v1.2_p1d.200507_monthlyAverage.npy,-99999.,07,mm/day,2005
